2016-10-05 14:51:40,531 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 14:51:58,291 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:51:58,292 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 14:51:58,293 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 14:51:58,294 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:11:39,154 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:11:39,156 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:11:39,158 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:11:39,159 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:11:46,986 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:11:46,988 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:11:46,989 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:11:46,989 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:15:45,951 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:15:45,953 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:15:45,954 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:15:45,955 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:15:47,790 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: bigdata:tp3-mapreduce:0.0.1 @ /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/pom.xml.
2016-10-05 15:15:49,474 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:15:49,476 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:15:49,479 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:15:49,481 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/test/resources
2016-10-05 15:17:15,826 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-05 15:17:15,828 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/netapp/travail/wvervale/bigdatatd5/bigdata/tp5exo1/src/main/resources
2016-10-05 15:17:15,829 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
